Name,Fantasy,NameASCII,PlayerId,MLBAMID
Yordan Alvarez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23795"">Logan &amp</a>",Yordan Alvarez,19556,670541
Ben Rice,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40255"">The Big Lu</a>",Ben Rice,29576,700250
Sal Stewart,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42358"">Apple Cinn</a>",Sal Stewart,31505,701398
James Wood,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40188"">Continenta</a>",James Wood,29518,695578
Nico Hoerner,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33627"">H-Town Ram</a>",Nico Hoerner,21479,663538
Shea Langeliers,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36669"">Even Baked</a>",Shea Langeliers,25816,669127
Mike Trout,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=6305"">Logan &amp</a>",Mike Trout,10155,545361
Elly De La Cruz,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36338"">Smoking He</a>",Elly De La Cruz,26668,682829
Jordan Walker,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38366"">Mirkwood S</a>",Jordan Walker,27475,691023
José Ramírez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18284"">Hit the Kw</a>",Jose Ramirez,13510,608070
CJ Abrams,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36922"">Naylor? I </a>",CJ Abrams,25768,682928
Oneil Cruz,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=32291"">The Big Lu</a>",Oneil Cruz,21711,665833
Drake Baldwin,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42221"">Logan &amp</a>",Drake Baldwin,31539,686948
Matt Olson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18386"">Logan &amp</a>",Matt Olson,14344,621566
Andy Pages,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33949"">Continenta</a>",Andy Pages,24816,681624
Munetaka Murakami,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=48240"">The Big Lu</a>",Munetaka Murakami,37120,808959
Brice Turang,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33634"">Hit the Kw</a>",Brice Turang,22186,668930
Aaron Judge,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18312"">Naylor? I </a>",Aaron Judge,15640,592450
Kyle Schwarber,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18347"">Naylor? I </a>",Kyle Schwarber,16478,656941
Shohei Ohtani,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33600"">Hit the Kw</a>",Shohei Ohtani,19755,660271
Vladimir Guerrero Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18549"">Even Baked</a>",Vladimir Guerrero Jr.,19611,665489
Xavier Edwards,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33645"">Continenta</a>",Xavier Edwards,22266,669364
Yandy Díaz,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18517"">Even Baked</a>",Yandy Diaz,16578,650490
Max Muncy,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18255"">Logan &amp</a>",Max Muncy,13301,571970
Kevin McGonigle,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=44223"">Hit the Kw</a>",Kevin McGonigle,33572,805808
Brandon Nimmo,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18126"">NTX Gambit</a>",Brandon Nimmo,12927,607043
Brandon Lowe,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=31741"">Smoking He</a>",Brandon Lowe,18882,664040
Otto Lopez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26570"">Even Baked</a>",Otto Lopez,19608,672640
Corbin Carroll,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37182"">The Big Lu</a>",Corbin Carroll,25878,682998
Taylor Ward,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=22048"">Smoking He</a>",Taylor Ward,17548,621493
Zach Neto,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42156"">Continenta</a>",Zach Neto,31347,687263
Ian Happ,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18479"">Mirkwood S</a>",Ian Happ,17919,664023
Bryce Harper,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=14982"">The Big Lu</a>",Bryce Harper,11579,547180
Christian Walker,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18389"">H-Town Ram</a>",Christian Walker,13419,572233
Ryan O'Hearn,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=21156"">Hit the Kw</a>",Ryan O'Hearn,16442,656811
Nick Kurtz,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=45716"">Smoking He</a>",Nick Kurtz,35110,701762
Randy Arozarena,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23840"">Hit the Kw</a>",Randy Arozarena,19290,668227
Jose Altuve,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=5918"">Continenta</a>",Jose Altuve,5417,514888
Freddie Freeman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=5680"">H-Town Ram</a>",Freddie Freeman,5361,518692
Gunnar Henderson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37806"">The Big Lu</a>",Gunnar Henderson,26289,683002
Cody Bellinger,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=19328"">Logan &amp</a>",Cody Bellinger,15998,641355
Junior Caminero,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=39108"">Apple Cinn</a>",Junior Caminero,28163,691406
Alec Burleson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38368"">Logan &amp</a>",Alec Burleson,27615,676475
Willson Contreras,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=12398"">NTX Gambit</a>",Willson Contreras,11609,575929
Liam Hicks,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40541"">Naylor? I </a>",Liam Hicks,29844,689414
Bryan Reynolds,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23825"">H-Town Ram</a>",Bryan Reynolds,19326,668804
JJ Wetherholt,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=45713"">Continenta</a>",JJ Wetherholt,34985,802139
Bobby Witt Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36668"">The Sandma</a>",Bobby Witt Jr.,25764,677951
