Rank,Team,Hit_SPTS,SP_SPTS,RP_SPTS,Pit_SPTS,Total_SPTS,Hit_AB,Hit_H,Hit_2B,Hit_BB,Hit_HR,Hit_SB,Hit_wOBA,Hit_OPS,Pit_IP,SV,HLD,Pit_K,Pit_BB,Pit_HR,Pit_FIP,SP_IP,RP_IP,Total_IP,Raw_Hit,Raw_Pit,Raw_Total,N_Bat,N_Pit,Total_Salary,Sal_Hit,Sal_SP,Sal_RP,Avg_Age
1,Even Baked,9471.9,5361.3,2115.7,7477.1,16949.0,6447.0,1738.4,337.2,644.1,301.2,103.0,0.347,0.808,1580.8,74.2,47.2,1539.5,484.1,187.7,3.77,1230.7,350.1,1580.8,12519.0,7746.7,20265.7,23,17,,287.0,68.0,,28.7
2,NTX Gambit,8615.7,5616.2,2255.6,7871.8,16487.5,6422.2,1630.1,325.0,609.6,259.1,147.6,0.33,0.762,1556.6,82.1,33.8,1609.7,458.9,165.4,3.45,1206.6,350.0,1556.6,9986.8,10212.2,20199.1,19,20,396.0,187.0,154.0,55.0,28.9
3,Naylor? I,8932.5,5531.3,1825.2,7356.5,16289.0,6200.0,1599.7,301.8,745.3,272.5,144.6,0.34,0.789,1538.3,48.4,48.4,1572.0,487.5,172.2,3.64,1229.8,308.5,1538.3,10414.9,8205.6,18620.4,21,17,398.0,252.0,129.0,17.0,27.7
4,Mirkwood S,8812.0,5088.9,1958.1,7047.0,15859.0,6352.8,1616.0,326.5,719.2,261.3,135.5,0.335,0.774,1546.5,28.5,55.3,1561.7,495.8,190.5,3.81,1196.5,350.0,1546.5,11927.0,7375.1,19302.0,23,16,383.0,292.0,59.0,32.0,27.6
5,Logan &amp,9070.4,4451.5,2216.7,6668.2,15738.6,6329.7,1658.2,327.5,764.7,265.4,62.2,0.343,0.793,1323.0,57.5,56.9,1359.8,404.3,141.0,3.5,973.0,350.0,1323.0,11881.2,7135.7,19016.8,22,16,387.0,241.0,113.0,33.0,28.9
6,Hit the Kw,8860.0,4935.2,1819.1,6754.4,15614.4,6436.5,1661.3,317.7,632.3,273.4,185.7,0.333,0.774,1452.0,49.3,30.2,1495.1,492.3,170.1,3.73,1133.1,318.9,1452.0,11982.3,7433.8,19416.1,22,18,375.0,237.0,105.0,33.0,28.9
7,H-Town Ram,8588.4,5082.5,1789.8,6872.3,15460.7,6386.5,1625.2,324.3,664.6,249.9,125.1,0.33,0.763,1463.1,54.4,46.7,1494.3,483.9,171.5,3.76,1181.5,281.6,1463.1,9808.7,7379.4,17188.1,17,15,375.0,212.0,130.0,33.0,29.2
8,Continenta,8628.8,5005.8,1679.1,6684.9,15313.7,6467.4,1637.8,338.3,615.8,276.6,129.2,0.33,0.764,1419.8,49.3,45.8,1453.2,461.1,169.2,3.74,1139.0,280.8,1419.8,12062.3,7355.2,19417.5,23,15,374.0,202.0,146.0,26.0,27.1
9,Smoking He,8596.3,4345.2,2125.2,6470.4,15066.7,6497.2,1640.9,321.7,607.8,272.2,151.5,0.329,0.76,1386.1,79.5,46.4,1430.3,490.4,169.1,3.91,1036.1,350.0,1386.1,9883.6,6885.1,16768.6,19,20,387.0,211.0,111.0,65.0,27.5
10,Apple Cinn,8528.1,4117.0,2344.8,6461.9,14990.0,6513.5,1686.4,325.5,559.5,248.1,177.5,0.327,0.756,1324.7,102.0,33.8,1397.6,505.4,147.7,3.76,974.7,350.0,1324.7,8731.8,6730.4,15462.1,20,19,355.0,229.0,75.0,51.0,24.0
11,The Sandma,7927.8,3721.2,1817.4,5538.6,13466.4,5749.0,1485.0,286.8,630.1,219.6,144.7,0.334,0.771,1240.8,5.2,70.0,1114.8,384.6,146.9,3.93,890.9,349.9,1240.8,8314.5,5870.5,14185.0,20,18,365.0,272.0,71.0,22.0,26.0
12,The Big Lu,6697.2,4168.9,2028.0,6196.9,12894.1,5040.0,1245.3,237.7,546.2,196.2,161.6,0.326,0.752,1314.4,41.5,50.9,1352.9,463.5,149.6,3.76,964.3,350.1,1314.4,6692.9,6504.0,13196.8,15,18,358.0,245.0,74.0,39.0,26.1
